,Longitude,Latitude,Datetime,Fire
413,-123.678,41.995,2020-09-10,1
414,-121.22,37.152,2020-08-23,1
415,-122.628,39.798,2020-08-20,1
416,-122.725,39.74800000000001,2020-08-20,1
417,-122.946,39.655,2020-09-08,1
418,-123.047,40.054,2020-09-14,1
419,-122.875,39.982,2020-09-05,1
420,-122.243,38.762,2020-08-19,1
421,-119.445,37.247,2020-09-07,1
422,-119.45,37.357,2020-09-14,1
423,-123.054,39.545,2020-09-14,1
424,-118.46,36.141,2020-09-07,1
425,-121.586,36.105,2020-08-20,1
426,-123.028,39.969,2020-09-09,1
427,-121.442,36.052,2020-09-08,1
428,-121.338,37.276,2020-08-19,1
429,-122.928,39.63800000000001,2020-09-06,1
430,-122.799,40.032,2020-09-08,1
431,-121.612,36.558,2020-08-17,1
432,-119.386,37.412,2020-09-09,1
433,-122.87,39.501,2020-09-03,1
434,-121.248,39.835,2020-09-15,1
435,-119.251,37.516,2020-09-17,1
436,-119.183,37.438,2020-09-13,1
437,-118.552,36.107,2020-09-16,1
438,-117.887,34.431,2020-09-18,1
439,-123.517,41.063,2020-09-12,1
440,-120.928,39.828,2020-09-17,1
441,-117.553,36.042,2020-08-21,1
442,-120.901,39.827,2020-09-18,1
443,-122.88,39.994,2020-09-06,1
444,-123.496,41.108,2020-09-02,1
445,-123.396,41.90600000000001,2020-09-09,1
446,-123.312,41.119,2020-09-08,1
447,-123.324,40.099,2020-09-09,1
448,-118.021,34.202,2020-09-14,1
449,-122.282,38.825,2020-08-19,1
450,-118.018,34.278,2020-09-15,1
451,-122.232,37.174,2020-08-19,1
452,-122.906,39.48,2020-09-01,1
453,-121.058,39.678,2020-09-09,1
454,-121.647,37.358,2020-08-19,1
455,-121.728,37.418,2020-08-19,1
456,-116.913,33.994,2020-08-01,1
457,-118.56,36.129,2020-09-16,1
458,-116.901,34.042,2020-08-02,1
459,-119.12,37.352,2020-09-21,1
460,-118.545,36.159,2020-09-13,1
461,-119.585,38.524,2020-08-31,1
462,-122.791,39.793,2020-08-21,1
463,-117.466,35.986,2020-07-30,1
464,-123.432,41.98,2020-09-09,1
465,-122.131,37.113,2020-08-20,1
466,-119.454,37.24800000000001,2020-09-08,1
467,-119.569,38.539,2020-08-31,1
468,-122.851,39.793,2020-09-02,1
469,-121.45,37.016,2020-07-06,1
470,-123.128,39.584,2020-09-15,1
471,-119.196,37.2,2020-09-20,1
472,-119.304,37.411,2020-09-07,1
473,-121.668,36.166,2020-08-23,1
474,-119.133,37.367,2020-09-16,1
475,-121.133,39.764,2020-09-09,1
476,-121.453,37.555,2020-08-19,1
477,-123.478,41.06,2020-09-11,1
478,-121.154,39.77,2020-09-12,1
479,-120.944,39.839,2020-09-08,1
480,-119.139,37.341,2020-09-21,1
481,-122.904,39.773,2020-09-08,1
482,-117.962,34.264,2020-09-07,1
483,-118.035,34.209,2020-09-14,1
484,-119.29,37.18,2020-09-05,1
485,-123.021,39.947,2020-09-10,1
486,-119.275,37.469,2020-09-15,1
487,-121.368,37.27,2020-08-20,1
488,-121.059,39.691,2020-09-10,1
489,-116.786,34.08,2020-08-02,1
490,-119.39,37.401,2020-09-09,1
491,-121.568,37.343,2020-08-20,1
492,-123.21,40.239,2020-09-13,1
493,-119.358,37.212,2020-09-06,1
494,-118.664,36.234,2020-09-14,1
495,-121.439,39.595,2020-09-10,1
496,-118.589,34.645,2020-08-15,1
497,-119.238,37.384,2020-09-10,1
498,-120.786,41.058,2020-07-21,1
499,-119.417,37.295,2020-09-07,1
500,-122.901,40.155,2020-09-05,1
501,-122.639,39.566,2020-08-20,1
502,-121.367,37.323,2020-08-20,1
503,-117.923,34.359,2020-09-17,1
504,-117.878,34.409,2020-09-18,1
505,-121.115,39.632,2020-09-09,1
506,-122.846,41.229,2020-09-17,1
507,-122.994,40.089,2020-09-15,1
508,-121.496,37.268,2020-08-22,1
509,-119.366,37.087,2020-09-08,1
510,-116.896,34.158,2020-09-18,1
511,-123.22,41.894,2020-09-10,1
512,-122.834,39.784,2020-09-01,1
513,-122.688,39.579,2020-08-20,1
514,-123.03,40.071,2020-09-16,1
515,-120.211,41.019,2020-08-19,1
516,-118.75,36.296,2020-09-17,1
517,-123.527,41.117,2020-08-26,1
518,-122.939,39.597,2020-09-05,1
519,-119.447,37.238,2020-09-07,1
520,-119.605,38.533,2020-09-05,1
521,-119.629,38.536,2020-09-12,1
522,-123.415,41.14100000000001,2020-09-05,1
523,-119.445,37.261,2020-09-08,1
524,-123.622,41.959,2020-09-09,1
525,-119.457,37.311,2020-09-16,1
526,-122.629,39.921,2020-08-20,1
527,-118.6,34.683,2020-08-18,1
528,-120.938,39.807,2020-09-17,1
529,-119.118,37.338,2020-09-21,1
530,-118.525,35.466,2020-08-04,1
531,-123.161,40.235,2020-09-10,1
532,-119.165,37.182,2020-09-09,1
533,-123.475,41.052,2020-09-10,1
534,-120.713,40.337,2020-08-20,1
535,-123.329,40.093,2020-09-09,1
536,-119.468,37.348,2020-09-21,1
537,-117.833,34.376999999999995,2020-09-22,1
538,-119.341,37.448,2020-09-10,1
539,-118.472,36.139,2020-09-07,1
540,-119.357,37.459,2020-09-14,1
541,-119.601,38.497,2020-09-03,1
542,-121.378,39.605,2020-09-09,1
543,-122.963,39.986,2020-09-09,1
544,-123.222,41.933,2020-09-12,1
545,-119.192,37.22,2020-09-14,1
546,-121.238,39.796,2020-09-14,1
547,-121.343,37.362,2020-08-18,1
548,-121.246,39.821,2020-09-15,1
549,-123.485,41.063,2020-09-11,1
550,-123.102,40.049,2020-09-21,1
551,-123.274,40.278,2020-09-14,1
552,-122.949,39.833,2020-09-13,1
553,-117.934,34.264,2020-09-07,1
554,-123.388,40.117,2020-09-09,1
555,-122.137,37.117,2020-08-20,1
556,-121.163,39.69300000000001,2020-09-08,1
557,-121.593,37.354,2020-08-20,1
558,-123.501,41.034,2020-09-09,1
559,-121.208,37.163,2020-08-23,1
560,-121.308,39.784,2020-09-09,1
561,-122.141,37.127,2020-08-20,1
562,-122.278,38.879,2020-08-23,1
563,-119.306,37.503,2020-09-16,1
564,-119.258,37.481,2020-09-14,1
565,-119.305,37.497,2020-09-21,1
566,-121.511,36.427,2020-08-20,1
567,-122.912,39.996,2020-09-09,1
568,-118.464,36.202,2020-08-24,1
569,-121.311,36.02,2020-09-09,1
570,-119.337,37.486,2020-09-17,1
571,-116.95,34.055,2020-09-07,1
572,-121.469,36.128,2020-09-08,1
573,-119.442,37.407,2020-09-09,1
574,-118.689,36.213,2020-09-14,1
575,-121.608,36.136,2020-08-21,1
576,-119.416,37.295,2020-09-06,1
577,-119.269,37.449,2020-09-11,1
578,-116.926,34.069,2020-09-07,1
579,-122.756,40.43,2020-07-20,1
580,-122.9,39.992,2020-09-06,1
581,-122.62,39.542,2020-08-23,1
582,-122.998,39.543,2020-09-09,1
583,-122.709,39.697,2020-08-19,1
584,-121.109,39.665,2020-09-09,1
585,-122.787,39.845,2020-09-02,1
586,-123.277,40.287,2020-09-14,1
587,-119.229,37.141,2020-09-07,1
588,-122.289,38.725,2020-08-18,1
589,-117.967,34.395,2020-09-20,1
590,-123.034,39.573,2020-09-09,1
591,-119.377,37.165,2020-09-07,1
592,-123.0,39.911,2020-09-08,1
593,-123.1,40.057,2020-09-19,1
594,-119.429,37.406,2020-09-09,1
595,-117.894,34.328,2020-09-10,1
596,-121.352,37.351,2020-08-18,1
597,-121.246,39.658,2020-09-09,1
598,-120.773,40.269,2020-08-20,1
599,-121.515,37.472,2020-08-19,1
600,-119.314,37.442,2020-09-10,1
601,-119.465,37.287,2020-09-24,1
602,-119.385,37.089,2020-09-07,1
603,-123.4,41.92100000000001,2020-09-09,1
604,-117.868,34.392,2020-09-18,1
605,-119.299,37.176,2020-09-06,1
606,-120.603,36.223,2020-07-17,1
607,-119.359,37.45,2020-09-14,1
608,-119.447,37.426,2020-09-16,1
609,-118.535,36.145,2020-09-13,1
610,-123.5,41.094,2020-08-31,1
611,-123.142,40.163,2020-09-08,1
612,-118.406,36.46,2020-09-23,1
613,-119.42,37.257,2020-09-07,1
614,-122.761,39.838,2020-08-31,1
615,-123.408,41.06,2020-09-08,1
616,-123.59,41.94,2020-09-09,1
617,-118.491,36.085,2020-09-22,1
618,-120.169,39.731,2020-08-16,1
619,-122.926,39.828,2020-09-07,1
620,-122.929,39.92,2020-09-07,1
621,-116.832,33.977,2020-08-07,1
622,-118.609,34.673,2020-08-18,1
623,-122.888,40.154,2020-09-07,1
624,-118.678,36.227,2020-09-14,1
625,-119.316,37.051,2020-09-09,1
626,-122.205,38.796,2020-08-20,1
627,-123.243,40.116,2020-09-08,1
628,-119.565,38.528,2020-08-31,1
629,-121.222,39.85,2020-09-15,1
630,-123.455,41.1,2020-09-02,1
631,-121.083,39.752,2020-09-08,1
632,-116.922,33.998000000000005,2020-08-01,1
633,-122.876,41.225,2020-09-16,1
634,-119.38,37.209,2020-09-06,1
635,-120.776,40.403,2020-07-20,1
636,-117.885,34.29,2020-09-08,1
637,-119.377,37.214,2020-09-07,1
638,-121.199,39.746,2020-09-10,1
639,-121.509,36.112,2020-09-08,1
640,-118.422,36.108,2020-08-30,1
641,-121.487,41.682,2020-07-24,1
642,-117.994,34.463,2020-09-19,1
643,-122.293,37.132,2020-08-20,1
644,-121.557,36.13,2020-09-08,1
645,-122.202,37.192,2020-08-19,1
646,-117.904,34.428000000000004,2020-09-18,1
647,-117.448,35.984,2020-07-30,1
648,-121.473,36.07,2020-09-07,1
649,-121.503,37.505,2020-08-19,1
650,-117.879,34.382,2020-09-18,1
651,-123.058,39.546,2020-09-13,1
652,-119.278,37.375,2020-09-12,1
653,-123.122,39.548,2020-09-14,1
654,-122.805,40.01,2020-09-08,1
655,-117.897,34.347,2020-09-16,1
656,-120.532,36.134,2020-07-14,1
657,-123.047,39.981,2020-09-10,1
658,-122.701,39.648,2020-08-20,1
659,-121.624,37.359,2020-08-20,1
660,-123.507,41.131,2020-09-07,1
661,-119.634,37.845,2020-09-09,1
662,-122.806,39.852,2020-09-01,1
663,-117.827,34.361,2020-09-21,1
664,-123.364,41.137,2020-09-08,1
665,-120.805,40.278,2020-08-22,1
666,-122.896,39.762,2020-09-08,1
667,-123.547,41.962,2020-09-09,1
668,-116.766,34.061,2020-08-02,1
669,-121.646,37.376,2020-08-20,1
670,-121.082,39.858,2020-09-05,1
671,-119.278,37.352,2020-09-07,1
672,-119.317,37.481,2020-09-14,1
673,-122.898,39.718,2020-09-08,1
674,-122.948,39.837,2020-09-07,1
675,-120.974,39.772,2020-09-14,1
676,-119.416,37.404,2020-09-09,1
677,-122.63,40.099,2020-08-20,1
678,-122.985,39.632,2020-09-06,1
679,-123.355,41.066,2020-09-08,1
680,-118.493,36.181,2020-09-05,1
681,-119.37,37.206,2020-09-06,1
682,-121.594,37.398,2020-08-22,1
683,-121.61,37.362,2020-08-20,1
684,-119.358,37.428,2020-09-07,1
685,-121.336,39.596,2020-09-09,1
686,-123.214,41.957,2020-09-15,1
687,-122.981,39.832,2020-09-15,1
