,NDVI,EVI,SolarZenith,longitude,latitude,date
256,3048.0,2100.0,2088.0,-120.57694444,37.36305555,2010-05-25
257,5873.0,4364.0,2254.0,-120.61305555,37.42888888,2010-05-25
258,2464.0,1554.0,1941.0,-120.62194444,37.39111111,2010-05-28
259,3094.0,1988.0,2084.0,-120.52194444,37.34611111,2010-05-29
260,3727.0,2601.0,2177.0,-119.89694444,36.93305555,2010-05-29
261,4081.0,3086.0,2226.0,-120.645,36.98611111,2010-05-29
262,2957.0,1883.0,1950.0,-120.85111111,37.34111111,2010-05-29
263,3584.0,2454.0,2048.0,-120.085,37.005,2010-05-30
264,3980.0,2914.0,2218.0,-120.25194444,37.23305555,2010-05-31
265,2696.0,1677.0,2066.0,-120.25194444,37.28694444,2010-06-05
266,2643.0,1747.0,2036.0,-120.07694444,36.98388888,2010-06-06
267,3203.0,2165.0,1984.0,-120.87611111,37.075,2010-06-06
268,3435.0,2419.0,2071.0,-120.325,37.29305555,2010-06-06
269,5529.0,4181.0,2040.0,-120.12888888,37.01111111,2010-06-06
270,3525.0,2642.0,2086.0,-120.50611111,37.34611111,2010-06-06
271,3574.0,2351.0,1928.0,-120.06,36.97388888,2010-06-06
272,2951.0,1658.0,1981.0,-120.46111111,37.39694444,2010-06-11
273,1950.0,1188.0,1915.0,-121.06388888,37.18805555,2010-06-11
274,3899.0,2767.0,2072.0,-120.63611111,36.98805555,2010-06-11
275,3216.0,2031.0,1908.0,-120.72305555,37.38611111,2010-06-11
276,4092.0,2997.0,2094.0,-120.44194444,37.52694444,2010-06-11
277,4968.0,3589.0,2084.0,-120.51194444,37.31,2010-06-11
278,2789.0,1646.0,1920.0,-119.89388888,36.99611111,2010-06-12
279,5285.0,3487.0,1903.0,-120.62194444,37.38194444,2010-06-12
280,4229.0,3043.0,2078.0,-120.43805555,37.29111111,2010-06-12
281,2471.0,1685.0,1963.0,-120.65,36.96305555,2010-06-13
282,2745.0,1681.0,1996.0,-120.72,37.38805555,2010-06-13
283,5124.0,3547.0,1992.0,-120.63111111,37.39694444,2010-06-13
284,2532.0,1691.0,1938.0,-120.15611111,37.04,2010-06-15
285,4725.0,3298.0,2063.0,-120.31305555,37.17111111,2010-06-15
286,3313.0,2055.0,1980.0,-120.53888888,37.32,2010-06-15
287,2476.0,1612.0,2036.0,-120.07,36.98,2010-06-16
288,4919.0,3574.0,2065.0,-120.43694444,37.08388888,2010-06-16
289,3440.0,2277.0,2034.0,-120.06,36.98305555,2010-06-16
290,3038.0,2096.0,1974.0,-120.47,37.28388888,2010-06-16
291,2561.0,1683.0,1929.0,-120.07388888,36.98694444,2010-06-16
292,3367.0,2116.0,1823.0,-120.68194444,37.37388888,2010-06-17
293,3554.0,2399.0,1927.0,-120.02888888,36.98888888,2010-06-17
294,3650.0,2410.0,2001.0,-120.57694444,37.36305555,2010-06-21
295,5262.0,3666.0,2202.0,-120.46805555,37.39111111,2010-06-22
296,2812.0,1829.0,2036.0,-120.61388888,37.38305555,2010-06-22
297,3093.0,1961.0,2010.0,-120.30888888,37.28111111,2010-06-22
298,5692.0,3987.0,2046.0,-120.70111111,37.44805555,2010-06-23
299,6346.0,4743.0,2006.0,-120.95388888,37.14388888,2010-06-23
300,2534.0,1742.0,1958.0,-119.76111111,37.01111111,2010-06-24
301,7375.0,6092.0,2010.0,-120.55388888,37.05388888,2010-06-24
302,2714.0,1734.0,1975.0,-119.99,37.03388888,2010-06-24
303,2251.0,1546.0,1979.0,-120.10805555,37.00694444,2010-06-25
304,6353.0,4554.0,1962.0,-120.47305555,37.11305555,2010-06-13
305,2829.0,2050.0,2090.0,-120.575,37.33388888,2010-06-14
306,4075.0,2633.0,2072.0,-120.645,36.99611111,2010-06-14
307,2561.0,1683.0,1929.0,-120.07388888,36.98694444,2010-06-14
308,2471.0,1685.0,1963.0,-120.65,36.96305555,2010-06-14
309,2872.0,1777.0,1928.0,-119.99305555,37.035,2010-06-14
310,5185.0,3280.0,1827.0,-120.585,37.47694444,2010-06-15
311,5530.0,4167.0,1957.0,-120.41888888,37.08694444,2010-06-18
312,2951.0,1658.0,1981.0,-120.46111111,37.39694444,2010-06-18
313,6347.0,4905.0,2058.0,-120.38305555,37.01805555,2010-06-18
314,3253.0,2327.0,2147.0,-120.035,36.96,2010-06-19
