,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
14436,2013,8,19,18.42,21.23,374.14,0.88,79.44,54.81,8.67,0.49,2.48,0.38,10.81,0.98,3.54,17.75,13.89,3.91,24.7,0.12,1.76,0.14
14437,2013,8,20,0.76,27.75,25.37,89.89,0.0,0.76,26.66,1.02,1.39,0.24,0.25,1.63,13.68,367.14,6.29,24.09,33.55,19.87,0.09,0.06
14438,2013,11,11,295.03,11.8,7.43,1.68,10.52,1.34,6.87,2.71,1.03,0.7,31.06,17.39,2.44,2.02,86.95,0.01,6.53,1.35,0.12,0.0
14439,2013,1,19,29.12,92.38,251.7,2.24,1.31,12.75,2.32,0.6,1.64,2.8,7.48,3.23,6.98,1.45,4.07,20.23,13.27,2.76,0.17,0.0
14440,2013,8,30,17.21,13.33,5.31,307.23,13.29,0.55,19.84,2.15,2.92,26.62,10.57,35.69,0.98,83.42,0.11,0.84,3.75,0.87,0.0,0.11
14441,2013,7,15,348.39,26.76,21.49,5.61,14.03,4.06,20.27,7.3,1.7,2.63,19.25,34.3,4.64,3.88,89.74,0.98,29.44,5.05,0.19,0.0
14442,2013,4,12,3.23,27.06,23.55,100.2,0.08,3.3,22.53,2.55,4.04,0.16,1.7,4.2,15.45,332.59,4.03,12.27,30.48,15.04,0.28,0.0
14443,2013,5,6,347.54,22.04,18.83,4.59,11.31,3.68,16.63,5.46,0.88,2.47,40.88,27.94,6.47,3.34,99.56,0.54,24.93,4.23,0.26,0.0
14444,2013,10,11,13.5,0.94,26.51,4.64,1.61,12.47,99.69,2.55,1.62,1.71,1.58,324.4,35.12,20.19,20.79,3.2,2.68,13.02,0.27,0.0
14445,2013,9,19,3.29,70.38,21.83,96.43,0.47,3.77,18.45,2.12,4.1,0.62,1.72,4.73,12.57,316.37,9.28,13.26,26.33,13.77,0.16,0.0
14446,2013,10,19,320.49,22.58,6.0,3.11,13.06,2.27,16.86,3.61,0.49,1.37,20.44,29.92,3.11,2.19,94.46,0.37,19.4,2.63,0.14,0.0
14447,2013,2,13,255.33,13.37,7.62,2.38,11.83,1.9,8.02,3.55,1.18,1.66,35.25,19.85,3.05,2.6,95.97,0.72,9.53,2.62,0.19,0.0
14448,2013,4,11,15.03,11.67,5.31,307.97,9.19,2.43,14.67,3.49,4.92,20.86,10.66,52.75,4.63,94.53,0.48,1.34,6.26,4.15,0.0,0.14
14449,2013,3,26,10.7,1.57,24.13,3.3,5.83,8.15,91.1,7.4,3.03,3.94,6.75,286.41,28.0,16.57,17.6,9.77,5.55,13.42,0.26,0.0
14450,2013,3,29,3.09,36.5,17.33,90.58,0.34,3.44,16.87,2.52,4.33,0.41,1.66,4.73,13.2,297.44,4.15,11.7,24.16,10.96,0.2,0.0
14451,2013,4,19,276.48,19.78,6.55,3.14,12.23,2.03,13.51,3.73,0.59,1.38,10.25,25.73,1.4,2.01,94.71,0.51,19.72,2.54,0.23,0.0
14452,2013,5,9,2.9,36.94,26.9,97.84,0.44,3.34,23.17,2.94,4.42,0.5,2.08,4.93,14.58,341.98,5.98,18.67,29.26,14.69,0.22,0.05
14453,2013,5,11,16.23,0.36,27.78,8.3,3.6,18.38,98.84,3.96,0.24,1.52,4.66,343.5,55.06,21.57,22.88,4.91,1.89,11.56,0.16,0.0
14454,2013,5,11,343.5,21.57,18.38,4.66,11.56,3.6,16.23,4.91,0.24,1.52,55.06,27.78,8.3,1.89,98.84,0.36,22.88,3.96,0.16,0.0
14455,2013,5,2,15.48,0.04,31.55,4.64,4.3,5.12,99.01,4.34,0.19,1.67,5.93,310.73,32.38,23.05,21.37,6.12,2.32,16.07,0.13,0.0
14456,2013,5,4,9.01,0.65,25.4,3.48,4.68,6.05,89.77,5.33,1.31,2.82,6.24,300.79,29.12,17.8,19.04,7.55,4.12,16.39,0.19,0.0
14457,2013,5,16,291.94,14.12,10.42,3.82,6.84,3.08,11.82,6.0,2.18,2.87,79.0,18.65,8.48,3.67,96.84,1.63,17.91,4.7,0.15,0.0
14458,2013,5,13,28.44,11.76,5.37,328.76,23.66,1.96,29.23,2.88,5.85,35.42,15.12,22.19,4.5,94.3,0.39,0.58,6.44,4.12,0.0,0.12
14459,2013,5,26,3.6,7.41,2.59,14.98,5.16,12.42,20.1,80.77,13.97,37.12,6.13,4.84,5.91,3.78,2.75,8.5,292.91,1.25,0.23,0.0
