,ozone,longitude,latitude,date
58,350.0,-119.55611111,36.83694444,2010-05-30
59,342.0,-120.30305555,36.35611111,2010-05-30
60,340.0,-120.09888888,36.20388888,2010-05-31
61,336.0,-119.72694444,36.71888888,2010-05-31
62,336.0,-119.58694444,36.765,2010-05-31
63,329.0,-119.635,36.57611111,2010-06-01
64,307.0,-119.38111111,36.72,2010-06-06
65,315.0,-120.77194444,36.85,2010-06-07
66,317.0,-120.61388888,36.64305555,2010-06-08
67,321.0,-119.72694444,36.72,2010-06-08
68,308.0,-119.87194444,36.69888888,2010-06-09
69,313.0,-120.06111111,36.60388888,2010-06-09
70,350.0,-120.38888888,36.50111111,2010-06-10
71,317.0,-120.10388888,36.255,2010-06-17
72,317.0,-120.05,36.18194444,2010-06-18
73,316.0,-119.73388888,36.92111111,2010-06-18
74,348.0,-119.92305555,36.43194444,2010-06-19
75,348.0,-119.52111111,36.61194444,2010-06-19
76,333.0,-119.735,36.67805555,2010-06-20
77,333.0,-119.89888888,36.59194444,2010-06-20
78,350.0,-119.64888888,37.03805555,2010-06-22
79,351.0,-119.73694444,36.65611111,2010-06-22
80,390.0,-119.57388888,36.77111111,2010-06-11
81,354.0,-120.38805555,36.63305555,2010-06-12
82,366.0,-119.53805555,36.60694444,2010-06-12
83,354.0,-120.52694444,36.98194444,2010-06-13
84,313.0,-119.79111111,36.53,2010-06-14
85,338.0,-120.38694444,36.765,2010-06-15
86,338.0,-120.58111111,36.98194444,2010-06-15
87,348.0,-119.64694444,36.57611111,2010-06-16
88,348.0,-119.76388888,36.71694444,2010-06-16
89,351.0,-119.94111111,36.43,2010-06-22
90,334.0,-119.53805555,36.675,2010-06-23
91,317.0,-119.48888888,36.67,2010-06-24
92,350.0,-120.10388888,36.255,2010-06-25
93,350.0,-120.56388888,36.935,2010-06-25
94,320.0,-119.66388888,36.43111111,2010-06-27
95,320.0,-119.55694444,36.61194444,2010-06-28
96,320.0,-119.79194444,36.65,2010-06-29
97,316.0,-119.80111111,36.43111111,2010-06-30
98,323.0,-120.38888888,36.50111111,2010-07-05
99,323.0,-119.57,36.725,2010-07-06
100,323.0,-119.565,36.69194444,2010-07-06
101,323.0,-119.46888888,36.59,2010-07-06
102,323.0,-119.8,36.66305555,2010-07-06
103,311.0,-119.51111111,36.725,2010-07-07
104,314.0,-120.08611111,36.21,2010-07-08
105,311.0,-119.55611111,36.83694444,2010-07-08
106,303.0,-120.62805555,36.95388888,2010-07-09
107,294.0,-119.44194444,36.66888888,2010-07-17
108,301.0,-119.40388888,36.63305555,2010-07-18
109,304.0,-119.47111111,36.73111111,2010-07-19
110,304.0,-119.735,36.67805555,2010-07-19
111,304.0,-119.47111111,36.73111111,2010-07-19
112,314.0,-120.10388888,36.255,2010-07-21
113,310.0,-120.38694444,36.765,2010-07-23
114,310.0,-119.55611111,36.72194444,2010-07-23
115,310.0,-119.78611111,36.54694444,2010-07-24
116,310.0,-119.38388888,36.68305555,2010-07-24
117,303.0,-119.46694444,36.59,2010-07-25
118,303.0,-119.72694444,36.71888888,2010-07-25
119,306.0,-120.37305555,36.18,2010-08-06
120,325.0,-119.565,36.67805555,2010-08-09
121,310.0,-119.60194444,36.83194444,2010-08-10
122,300.0,-119.43,36.66194444,2010-08-12
123,300.0,-119.40305555,36.675,2010-08-12
124,300.0,-119.78611111,36.63388888,2010-08-12
125,296.0,-119.66111111,36.73694444,2010-08-14
126,298.0,-120.38694444,36.74888888,2010-08-15
127,298.0,-120.38388888,36.765,2010-08-15
128,300.0,-120.38888888,36.60305555,2010-08-22
129,300.0,-120.56694444,36.77805555,2010-08-23
130,301.0,-119.76388888,36.605,2010-08-27
131,301.0,-119.55694444,36.53194444,2010-08-27
132,301.0,-119.785,36.64111111,2010-08-27
133,301.0,-119.78611111,36.63388888,2010-08-27
134,326.0,-120.405,36.78388888,2010-08-28
135,326.0,-120.38888888,36.545,2010-08-28
136,318.0,-119.675,36.85611111,2010-08-28
