FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE
2010,Debris Burning,36.68388888,-119.85111111,CA,2455467.5,1.0,2010-09-28
2010,Debris Burning,36.595,-119.85388888,CA,2455469.5,1.0,2010-09-30
2010,Miscellaneous,36.74805555,-119.655,CA,2455469.5,0.1,2010-09-30
2010,Debris Burning,36.63305555,-119.72694444,CA,2455471.5,1.0,2010-10-02
2010,Miscellaneous,36.69888888,-119.88111111,CA,2455472.5,1.0,2010-10-03
2010,Debris Burning,36.56888888,-119.59,CA,2455472.5,1.0,2010-10-03
2010,Debris Burning,36.91305555,-120.55,CA,2455473.5,1.0,2010-10-04
2010,Miscellaneous,36.57611111,-119.58805555,CA,2455503.5,1.0,2010-11-03
2010,Equipment Use,36.79388888,-119.58388888,CA,2455516.5,1.0,2010-11-16
2010,Miscellaneous,36.64,-120.62111111,CA,2455517.5,1.0,2010-11-17
2010,Debris Burning,36.60388888,-119.40194444,CA,2455517.5,0.2,2010-11-17
2010,Debris Burning,36.64,-120.62111111,CA,2455528.5,0.3,2010-11-28
2010,Debris Burning,37.285,-120.49805555,CA,2455198.5,0.1,2010-01-02
2010,Miscellaneous,37.49194444,-120.74694444,CA,2455205.5,1.0,2010-01-09
2010,Miscellaneous,37.335,-120.875,CA,2455209.5,1.0,2010-01-13
2010,Debris Burning,37.06888888,-120.31,CA,2455302.5,0.2,2010-04-16
2010,Miscellaneous,37.38305555,-120.70888888,CA,2455317.5,0.1,2010-05-01
2010,Miscellaneous,37.29694444,-121.02194444,CA,2455318.5,1.0,2010-05-02
2010,Miscellaneous,36.92111111,-120.01805555,CA,2455322.5,0.5,2010-05-06
2010,Smoking,37.295,-120.85111111,CA,2455322.5,1.0,2010-05-06
2010,Miscellaneous,36.98111111,-120.645,CA,2455323.5,0.5,2010-05-07
2010,Miscellaneous,36.88,-120.445,CA,2455324.5,1.5,2010-05-08
2010,Miscellaneous,37.39611111,-120.79611111,CA,2455324.5,0.1,2010-05-08
2010,Debris Burning,37.01111111,-120.11111111,CA,2455324.5,1.0,2010-05-08
2010,Equipment Use,36.97111111,-119.89388888,CA,2455324.5,0.1,2010-05-08
2010,Miscellaneous,36.98611111,-120.645,CA,2455325.5,0.5,2010-05-09
2010,Miscellaneous,36.985,-120.645,CA,2455325.5,0.5,2010-05-09
2010,Miscellaneous,36.88,-119.97694444,CA,2455326.5,1.0,2010-05-10
2010,Miscellaneous,37.05194444,-120.57194444,CA,2455336.5,0.2,2010-05-20
2010,Arson,37.35194444,-120.62194444,CA,2455336.5,0.1,2010-05-20
2010,Miscellaneous,36.99305555,-120.70805555,CA,2455338.5,1.0,2010-05-22
2010,Debris Burning,37.32388888,-120.73111111,CA,2455338.5,1.0,2010-05-22
2010,Equipment Use,37.055,-120.75111111,CA,2455338.5,0.1,2010-05-22
2010,Railroad,37.38888888,-120.61888888,CA,2455338.5,0.3,2010-05-22
2010,Miscellaneous,37.295,-120.325,CA,2455339.5,0.5,2010-05-23
2010,Miscellaneous,37.075,-120.87611111,CA,2455339.5,0.1,2010-05-23
2010,Equipment Use,37.35194444,-120.43805555,CA,2455339.5,5.0,2010-05-23
2010,Miscellaneous,37.36305555,-120.57694444,CA,2455348.5,0.3,2010-06-01
2010,Miscellaneous,37.05694444,-120.96888888,CA,2455348.5,0.3,2010-06-01
2010,Smoking,37.42888888,-120.81305555,CA,2455348.5,1.0,2010-06-01
2010,Miscellaneous,37.38888888,-120.61888888,CA,2455349.5,0.1,2010-06-02
2010,Miscellaneous,37.01805555,-120.175,CA,2455349.5,2.0,2010-06-02
