,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
256,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
257,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
258,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
259,Merced County,8942.0,51.0,3398.0,2926.0,110500.0,35462.0,209,7.26
260,Merced County,1099.0,7.0,502.0,392.0,274000.0,49500.0,209,3.14
261,Merced County,7324.0,178.0,2604.0,2461.0,201500.0,49485.0,209,0.71
262,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
263,Merced County,817.0,15.0,277.0,242.0,260700.0,34783.0,209,0.15
264,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
265,Merced County,30805.0,648.0,11276.0,10173.0,150700.0,40864.0,209,0.1
266,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
267,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
268,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
269,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
270,Merced County,33931.0,854.0,12642.0,11546.0,165800.0,47779.0,209,0.74
271,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
272,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
273,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
274,Madera County,37743.0,140.0,12241.0,11283.0,165200.0,48974.0,559,0.06
275,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
276,Merced County,,,,,,,209,
277,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
278,Madera County,37743.0,140.0,12241.0,11283.0,165200.0,48974.0,559,0.06
279,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
280,Merced County,38776.0,150.0,12546.0,11172.0,144900.0,46933.0,209,8.53
281,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
282,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
283,Merced County,15457.0,276.0,4098.0,3861.0,171200.0,48462.0,209,0.23
284,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
285,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
286,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
287,Merced County,30805.0,648.0,11276.0,10173.0,150700.0,40864.0,209,0.1
288,Madera County,11908.0,61.0,4186.0,3974.0,261100.0,74538.0,559,1.13
289,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
290,Merced County,2030.0,44.0,700.0,600.0,291900.0,37391.0,209,0.5
291,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
